COVERAGE VIOLATION REPORT
================================================================================
Total demand pairs checked: 38186
Total violations: 38186
Overall violation ratio: 1.000000

Per-slot summary:
 slot  demand_pairs  violations  violation_ratio
  734            27          27              1.0
  735            15          15              1.0
  736            17          17              1.0
  737            24          24              1.0
  738            24          24              1.0
  739            17          17              1.0
  740            29          29              1.0
  741            37          37              1.0
  742            28          28              1.0
  743            18          18              1.0
  744            24          24              1.0
  745            31          31              1.0
  746            36          36              1.0
  747            33          33              1.0
  748            33          33              1.0
  749            44          44              1.0
  750            25          25              1.0
  751            30          30              1.0
  752            33          33              1.0
  753            38          38              1.0
  754            31          31              1.0
  755            29          29              1.0
  756            41          41              1.0
  757            23          23              1.0
  758            18          18              1.0
  759            20          20              1.0
  760            44          44              1.0
  761            34          34              1.0
  762            31          31              1.0
  763            34          34              1.0
  764            16          16              1.0
  765            19          19              1.0
  766            32          32              1.0
  767            31          31              1.0
  768            16          16              1.0
  769            18          18              1.0
  770            24          24              1.0
  771             7           7              1.0
  772            15          15              1.0
  773            16          16              1.0
  774            23          23              1.0
  775            22          22              1.0
  776            21          21              1.0
  777            20          20              1.0
  778            17          17              1.0
  779            27          27              1.0
  780            29          29              1.0
  781            29          29              1.0
  782            24          24              1.0
  783            24          24              1.0
  784            27          27              1.0
  785            28          28              1.0
  786            26          26              1.0
  787            35          35              1.0
  788            27          27              1.0
  789            36          36              1.0
  790            27          27              1.0
  791            30          30              1.0
  792            21          21              1.0
  793            20          20              1.0
  794            31          31              1.0
  795            31          31              1.0
  796            29          29              1.0
  797            22          22              1.0
  798            30          30              1.0
  799            25          25              1.0
  800            18          18              1.0
  801            21          21              1.0
  802            26          26              1.0
  803            26          26              1.0
  804            18          18              1.0
  805            18          18              1.0
  806            13          13              1.0
  807            14          14              1.0
  808            25          25              1.0
  809            26          26              1.0
  810            27          27              1.0
  811            23          23              1.0
  812            24          24              1.0
  813            24          24              1.0
  814            16          16              1.0
  815            19          19              1.0
  816            24          24              1.0
  817            27          27              1.0
  818            28          28              1.0
  819            18          18              1.0
  820            18          18              1.0
  821            12          12              1.0
  822            22          22              1.0
  823            27          27              1.0
  824            26          26              1.0
  825            22          22              1.0
  826            28          28              1.0
  827            13          13              1.0
  828            17          17              1.0
  829            34          34              1.0
  830            24          24              1.0
  831            22          22              1.0
  832            20          20              1.0
  833            23          23              1.0
  834            14          14              1.0
  835            18          18              1.0
  836            22          22              1.0
  837            30          30              1.0
  838            21          21              1.0
  839            26          26              1.0
  840            16          16              1.0
  841            19          19              1.0
  842            20          20              1.0
  843            19          19              1.0
  844            31          31              1.0
  845            23          23              1.0
  846            20          20              1.0
  847            22          22              1.0
  848             9           9              1.0
  849            15          15              1.0
  850            19          19              1.0
  851            32          32              1.0
  852            22          22              1.0
  853            25          25              1.0
  854            17          17              1.0
  855            10          10              1.0
  856            10          10              1.0
  857            27          27              1.0
  858            28          28              1.0
  859            26          26              1.0
  860            17          17              1.0
  861            27          27              1.0
  862            13          13              1.0
  863            18          18              1.0
  864            27          27              1.0
  865            41          41              1.0
  866            52          52              1.0
  867            35          35              1.0
  868            38          38              1.0
  869            27          27              1.0
  870            34          34              1.0
  871            40          40              1.0
  872            52          52              1.0
  873            37          37              1.0
  874            36          36              1.0
  875            33          33              1.0
  876            23          23              1.0
  877            22          22              1.0
  878            31          31              1.0
  879            38          38              1.0
  880            43          43              1.0
  881            37          37              1.0
  882            35          35              1.0
  883            28          28              1.0
  884            32          32              1.0
  885            39          39              1.0
  886            48          48              1.0
  887            39          39              1.0
  888            32          32              1.0
